dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-computer,MPNN_sage,none,,0.0,,42,0,92.2909,93.3842,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,1,92.2545,93.4569,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,2,92.4364,93.2388,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,3,92.1455,92.9844,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,4,92.2545,92.7299,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,5,92.6182,93.2752,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,6,92.3273,93.0207,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,7,92.2182,92.9844,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,8,92.7636,93.6023,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,none,,0.0,,42,9,92.4364,92.9844,,,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,0,92.2182,93.3842,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,1,92.2909,93.1661,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,2,92.3636,92.8390,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,3,92.4000,93.2752,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,4,92.2545,93.2388,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,5,92.7273,93.3479,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,6,92.1455,93.0207,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,7,92.5091,92.9844,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,8,92.6182,93.3479,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,oracle,none,0.01,,42,9,92.5455,93.2388,0.0,0.3486170470714569,,,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,mlp,none,0.01,500,42,0,92.2909,93.3842,0.0,0.3360983431339264,0.7654545307159424,0.3443252146244049,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,mlp,none,0.01,500,42,1,92.3636,92.8753,0.0,0.322258859872818,0.7789090871810913,0.29183149337768555,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,mlp,none,0.01,500,42,2,92.4000,93.0934,0.0,0.2929113805294037,0.7749090790748596,0.27384093403816223,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,mlp,none,0.01,500,42,3,92.2909,92.9117,0.0,0.31175917387008667,0.7741817831993103,0.3239983320236206,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
amazon-computer,MPNN_sage,mlp,none,0.01,500,42,4,92.2909,92.8753,0.0,0.3044556677341461,0.8076363205909729,0.22533884644508362,"lr=0.001,hid=64,do=0.3,wd=5e-05,heads=1,ll=4,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
