dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-photo,MPNN_gcn,none,,0.0,,42,0,95.5556,96.1438,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,1,95.7516,96.0784,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,2,95.3595,95.7516,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,3,95.2941,96.0784,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,4,95.6863,96.2745,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,5,95.2288,96.0784,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,6,95.6863,96.2092,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,7,95.6209,95.8170,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,8,95.6863,95.8170,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,none,,0.0,,42,9,95.6209,95.9477,,,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,0,95.5556,95.6863,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,1,95.4902,95.6863,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,2,95.5556,95.4248,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,3,95.5556,96.1438,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,4,95.3595,95.8170,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,5,95.3595,95.8170,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,6,95.6209,96.0784,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,7,95.5556,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,8,95.7516,96.0131,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_gcn,oracle,none,0.01,,42,9,95.4902,96.0784,0.0,0.3705296516418457,,,"lr=0.001,hid=256,do=0.5,wd=5e-05,heads=1,ll=6,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
