dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-photo,MPNN_sage,none,,0.0,,42,0,95.8170,96.5359,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,1,95.6209,96.4052,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,2,95.4902,96.4052,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,3,95.6863,96.6013,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,4,95.5556,96.4052,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,5,95.6863,96.6013,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,6,95.7516,96.2745,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,7,95.6209,96.4706,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,8,95.7516,96.0784,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,none,,0.0,,42,9,95.6863,96.5359,,,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,0,95.4902,96.0131,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,1,95.6209,96.2092,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,2,95.5556,96.0131,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,3,95.6863,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,4,95.6863,96.2092,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,5,95.6209,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,6,95.6863,96.6013,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,7,95.6863,96.6667,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,8,96.0131,96.6667,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.01,,42,9,95.6863,96.4706,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,0,95.3595,96.0784,0.0,0.29565390944480896,0.8797385692596436,0.05556395649909973,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,1,95.7516,96.5359,0.0,0.3040892481803894,0.8823529481887817,0.0607038177549839,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,2,95.4902,96.1438,0.0,0.294023334980011,0.8647059202194214,0.0584367960691452,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,3,95.6209,96.4052,0.0,0.2986014783382416,0.8797385692596436,0.058951057493686676,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,4,95.5556,96.0784,0.0,0.29221493005752563,0.8790850043296814,0.061526983976364136,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,5,95.5556,96.6013,0.0,0.303293377161026,0.8830065727233887,0.06126140058040619,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,6,95.8170,96.3399,0.0,0.29956886172294617,0.8790850043296814,0.059945277869701385,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,7,95.7516,96.6013,0.0,0.30033808946609497,0.8830065727233887,0.06096575781702995,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,8,95.6863,96.2092,0.0,0.2936447262763977,0.8679738640785217,0.06922987848520279,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,mlp,none,0.01,500,42,9,95.6863,96.4706,0.0,0.2972540557384491,0.8699346780776978,0.0694289356470108,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.05,,42,0,95.4248,96.2092,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.05,,42,1,95.8170,96.2745,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.05,,42,2,95.4248,96.5359,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
amazon-photo,MPNN_sage,oracle,none,0.05,,42,3,95.7516,95.9477,0.0,0.3705296516418457,,,"lr=0.001,hid=64,do=0.2,wd=5e-05,heads=1,ll=6,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
