dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
amazon-ratings,MPNN_gat,none,,0.0,,42,0,55.3977,55.0874,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,1,55.6263,55.8223,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,2,55.8876,55.3814,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,3,55.9040,54.9404,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,4,55.9203,55.4140,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,5,55.0874,54.8587,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,6,56.0183,55.4467,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,7,55.1200,54.7771,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,8,55.8550,54.3361,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,none,,0.0,,42,9,55.5610,54.7117,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,0,55.2017,55.8876,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,1,55.6427,55.3977,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,2,55.8060,55.2344,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,3,55.6263,54.6464,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,4,56.1489,55.3814,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,5,55.2997,54.7444,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,6,56.4429,55.8223,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,7,55.0220,54.3851,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,8,55.5283,53.8788,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,oracle,none,0.01,,42,9,55.4793,54.7771,0.0,0.4107460081577301,,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,mlp,none,0.01,500,42,0,54.8751,55.3160,0.0,0.4373486638069153,0.48146334290504456,0.11822622269392014,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,mlp,none,0.01,500,42,1,55.7733,55.5120,0.0,0.4416854977607727,0.48962926864624023,0.11533030867576599,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,mlp,none,0.01,500,42,2,55.4140,54.2381,0.0,0.4464016258716583,0.4893026351928711,0.12676262855529785,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
amazon-ratings,MPNN_gat,mlp,none,0.01,500,42,3,55.4630,54.3034,0.0,0.43729543685913086,0.4881593883037567,0.10828354954719543,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=4,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
