dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,MPNN_gat,none,,0.0,,42,0,48.0836,45.3608,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,1,41.3907,39.1304,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,2,46.5517,37.0787,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,3,45.5782,42.3913,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,4,46.6418,43.4066,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,5,47.9452,39.6341,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,6,44.0141,37.7660,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,7,44.5161,44.0252,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,8,48.4321,38.9535,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,none,,0.0,,42,9,42.8058,40.3226,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,mlp,none,0.01,500,42,0,48.4321,42.2680,0.0,0.18174369633197784,0.3484320640563965,0.24153998494148254,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,mlp,none,0.01,500,42,1,40.7285,42.2360,0.0,0.15118221938610077,0.34437087178230286,0.22643907368183136,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,mlp,none,0.01,500,42,2,48.9655,37.0787,0.0,0.19188667833805084,0.3689655065536499,0.27934688329696655,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_gat,mlp,none,0.01,500,42,3,46.9388,44.5652,0.0,0.15725702047348022,0.3163265287876129,0.24203278124332428,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
