dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,MPNN_gcn,none,,0.0,,42,0,47.7352,46.3918,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,1,43.0464,42.8571,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,2,50.3448,42.1348,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,3,45.5782,45.1087,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,4,45.5224,47.2527,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,5,48.2877,41.4634,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,6,42.9577,47.3404,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,7,46.4516,49.0566,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,8,49.8258,41.8605,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,none,,0.0,,42,9,46.4029,44.6237,,,,,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,0,50.1742,45.8763,0.0,0.21589381992816925,0.32752612233161926,0.41867563128471375,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,1,41.0596,44.0994,0.0,0.24590462446212769,0.3013245165348053,0.41813281178474426,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,2,48.9655,39.3258,0.0,0.12498416006565094,0.35517242550849915,0.29308757185935974,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,3,44.8980,45.6522,0.0,0.14152812957763672,0.28911563754081726,0.2949719727039337,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,4,45.8955,43.9560,0.0,0.2118888646364212,0.33582088351249695,0.34599384665489197,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,5,48.6301,37.1951,0.0,0.1345479041337967,0.3595890402793884,0.27319982647895813,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,6,41.5493,47.8723,0.0,0.2539904713630676,0.39788731932640076,0.3296761214733124,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
chameleon,MPNN_gcn,mlp,none,0.01,500,42,7,46.7742,54.7170,0.0,0.2603594660758972,0.3451612889766693,0.3960293233394623,"lr=0.005,hid=512,do=0.2,wd=0.001,heads=1,ll=5,gnn=gcn,ln=False,bn=False,res=False,jk=False,prelin=False"
