dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
chameleon,MPNN_sage,none,,0.0,,42,0,48.4321,44.3299,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,1,41.7219,45.9627,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,2,46.2069,34.8315,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,3,48.6395,45.6522,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,4,45.5224,41.7582,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,5,48.6301,35.3659,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,6,42.6056,36.7021,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,7,44.1935,43.3962,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,8,47.3868,41.2791,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,none,,0.0,,42,9,46.0432,45.1613,,,,,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,0,48.0836,43.2990,0.0,0.17477364838123322,0.33797910809516907,0.3387190103530884,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,1,41.3907,47.2050,0.0,0.21270498633384705,0.28807947039604187,0.3846520483493805,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,2,46.5517,35.3933,0.0,0.19764867424964905,0.32758620381355286,0.35110875964164734,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,3,48.2993,47.8261,0.0,0.14410588145256042,0.32312923669815063,0.26865485310554504,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,4,44.7761,42.8571,0.0,0.14767144620418549,0.3694029748439789,0.29763931035995483,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,5,50.0000,35.9756,0.0,0.1781703233718872,0.3458904027938843,0.2919538617134094,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,6,40.4930,48.9362,0.0,0.20720849931240082,0.39084506034851074,0.33646973967552185,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,7,44.5161,43.3962,0.0,0.21030330657958984,0.32258063554763794,0.32636356353759766,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,8,47.0383,42.4419,0.0,0.13326920568943024,0.3623693287372589,0.21114251017570496,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.01,500,42,9,46.0432,47.3118,0.0,0.15658779442310333,0.34892088174819946,0.268815815448761,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,0,47.7352,42.7835,0.0,0.17477364838123322,0.33797910809516907,0.3387190103530884,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,1,41.3907,45.9627,0.0,0.21270498633384705,0.28807947039604187,0.3846520483493805,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,2,47.2414,34.8315,0.0,0.19764867424964905,0.32758620381355286,0.35110875964164734,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,3,47.9592,44.5652,0.0,0.14410588145256042,0.32312923669815063,0.26865485310554504,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,4,45.8955,43.9560,0.0,0.14767144620418549,0.3694029748439789,0.29763931035995483,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,5,48.6301,37.1951,0.0,0.1781703233718872,0.3458904027938843,0.2919538617134094,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,6,40.1408,44.6809,0.0,0.20720849931240082,0.39084506034851074,0.33646973967552185,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,7,44.1935,42.7673,0.0,0.21030330657958984,0.32258063554763794,0.32636356353759766,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,8,46.3415,39.5349,0.0,0.13326920568943024,0.3623693287372589,0.21114251017570496,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.05,500,42,9,44.2446,47.8495,0.0,0.15658779442310333,0.34892088174819946,0.268815815448761,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,0,47.3868,41.7526,0.0,0.17477364838123322,0.33797910809516907,0.3387190103530884,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,1,42.3841,47.2050,0.0,0.21270498633384705,0.28807947039604187,0.3846520483493805,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,2,47.2414,36.5169,0.0,0.19764867424964905,0.32758620381355286,0.35110875964164734,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,3,49.6599,45.1087,0.0,0.14410588145256042,0.32312923669815063,0.26865485310554504,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,4,45.5224,45.0549,0.0,0.14767144620418549,0.3694029748439789,0.29763931035995483,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,5,47.9452,37.8049,0.0,0.1781703233718872,0.3458904027938843,0.2919538617134094,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,6,42.6056,37.7660,0.0,0.20720849931240082,0.39084506034851074,0.33646973967552185,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
chameleon,MPNN_sage,mlp,none,0.1,500,42,7,43.2258,42.7673,0.0,0.21030330657958984,0.32258063554763794,0.32636356353759766,"lr=0.01,hid=256,do=0.7,wd=0.001,heads=1,ll=4,gnn=sage,ln=False,bn=True,res=True,jk=False,prelin=False"
