dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-cs,MPNN_gat,none,,0.0,,42,0,95.4174,96.1832,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,1,95.2810,96.3195,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,2,95.3082,96.2650,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,3,95.3355,96.0469,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,4,95.3355,96.2650,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,5,95.2810,96.2105,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,6,95.4174,96.2377,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,7,95.1173,96.1014,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,8,95.2810,96.0196,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,none,,0.0,,42,9,95.4174,96.1559,,,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,0,95.4174,96.2377,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,1,95.2810,96.4286,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,2,95.2810,96.2923,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,3,95.3082,96.0742,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,4,95.3082,96.2650,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,5,95.3082,96.0469,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,6,95.4174,96.2105,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,7,95.1446,96.2377,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,8,95.2810,96.0469,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,oracle,none,0.01,,42,9,95.4719,96.1559,0.0,0.43668240308761597,,,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,0,95.4719,96.1832,0.0,0.26124271750450134,0.9348063468933105,0.07863897830247879,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,1,95.2810,96.4286,0.0,0.2633744478225708,0.9372613430023193,0.07418780773878098,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,2,95.2810,96.2650,0.0,0.25973638892173767,0.936170220375061,0.08191399276256561,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,3,95.3628,96.0469,0.0,0.2624300718307495,0.9369885325431824,0.07362675666809082,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,4,95.3355,96.2650,0.0,0.26027345657348633,0.9358974695205688,0.08106840401887894,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_gat,mlp,none,0.01,500,42,5,95.3082,96.0469,0.0,0.259649395942688,0.936443030834198,0.07983609288930893,"lr=0.001,hid=256,do=0.3,wd=0.0005,heads=1,ll=1,gnn=gat,ln=True,bn=False,res=True,jk=False,prelin=False"
