dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-cs,MPNN_sage,none,,0.0,,42,0,95.4992,96.0469,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,1,95.5265,96.2923,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,2,95.5810,96.2377,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,3,95.4446,95.7743,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,4,95.4446,96.1014,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,5,95.4719,96.4558,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,6,95.5265,96.3740,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,7,95.5810,95.9651,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,8,95.7174,96.4286,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,none,,0.0,,42,9,95.4174,95.9651,,,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,oracle,none,0.01,,42,0,95.5537,96.0196,0.0,0.43668240308761597,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,oracle,none,0.01,,42,1,95.5265,96.3468,0.0,0.43668240308761597,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,oracle,none,0.01,,42,2,95.6628,95.8288,0.0,0.43668240308761597,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-cs,MPNN_sage,oracle,none,0.01,,42,3,95.4719,96.2650,0.0,0.43668240308761597,,,"lr=0.001,hid=512,do=0.5,wd=0.0005,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=True,jk=False,prelin=False"
