dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-physics,MPNN_gat,none,,0.0,,42,0,97.1586,97.3333,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,1,97.1876,97.0580,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,2,97.0861,97.2754,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,3,97.1006,97.1014,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,4,97.1441,97.2609,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,5,97.1441,97.0145,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,6,97.1441,97.3044,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,7,97.1151,97.2174,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,8,97.0426,97.1014,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,none,,0.0,,42,9,97.1586,97.2754,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,oracle,none,0.01,,42,0,97.1586,97.3188,0.0,0.24461685121059418,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,oracle,none,0.01,,42,1,97.1876,97.0725,0.0,0.24461685121059418,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,oracle,none,0.01,,42,2,97.1006,97.3044,0.0,0.24461685121059418,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,oracle,none,0.01,,42,3,97.0861,97.1159,0.0,0.24461685121059418,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gat,oracle,none,0.01,,42,4,97.1731,97.2754,0.0,0.24461685121059418,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=2,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
