dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
coauthor-physics,MPNN_gcn,none,,0.0,,42,0,97.1731,97.5507,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,1,97.2891,97.5507,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,2,97.1876,97.5362,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,3,97.1731,97.5217,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,4,97.2166,97.5072,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,5,97.2166,97.3478,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,6,97.2456,97.4783,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,7,97.1296,97.4928,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,8,97.2021,97.5797,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,none,,0.0,,42,9,97.2021,97.4203,,,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,0,97.1876,97.5507,0.0,0.24607037007808685,0.9546245336532593,0.04040424898266792,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,1,97.2891,97.4203,0.0,0.24498315155506134,0.9540446400642395,0.0389888621866703,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,2,97.2311,97.4203,0.0,0.24527591466903687,0.9550594091415405,0.03997212275862694,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,3,97.1441,97.5362,0.0,0.24626363813877106,0.9546245336532593,0.04031381756067276,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,4,97.2166,97.4928,0.0,0.2456177920103073,0.9541895985603333,0.04029062017798424,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,5,97.1876,97.3768,0.0,0.24754531681537628,0.9536097645759583,0.04405324533581734,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,6,97.2601,97.4348,0.0,0.24451516568660736,0.953754723072052,0.039047133177518845,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,7,97.1441,97.5217,0.0,0.24780820310115814,0.9541895985603333,0.037248484790325165,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,8,97.2021,97.5652,0.0,0.24716900289058685,0.954769492149353,0.03981264308094978,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,mlp,none,0.01,500,42,9,97.2166,97.2609,0.0,0.24373871088027954,0.9541895985603333,0.044104594737291336,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
coauthor-physics,MPNN_gcn,oracle,none,0.01,,42,0,97.1731,97.5362,0.0,0.24461685121059418,,,"lr=0.001,hid=64,do=0.3,wd=0.0005,heads=1,ll=2,gnn=gcn,ln=True,bn=False,res=True,jk=False,prelin=False"
