dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
cora,MPNN_sage,none,,0.0,,123,0,79.2000,82.0000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,1,80.6000,81.4000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,2,80.0000,82.8000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,3,80.4000,82.4000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,4,79.0000,82.6000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,5,80.6000,84.4000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,6,80.8000,83.8000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,7,80.8000,83.9000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,8,80.6000,83.2000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,none,,0.0,,123,9,79.4000,83.8000,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,0,79.4000,82.4000,0.0,0.06564516574144363,0.4660000205039978,0.6944233179092407,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,1,81.0000,81.1000,0.0,0.05857143551111221,0.44600000977516174,0.6878591775894165,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,2,79.8000,83.7000,0.0,0.04703391715884209,0.46000000834465027,0.6939793229103088,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,3,80.2000,82.2000,0.0,0.05960928648710251,0.46400001645088196,0.6885921359062195,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,4,79.0000,82.6000,0.0,0.05669253319501877,0.47600001096725464,0.6900191903114319,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,5,80.4000,84.3000,0.0,0.05249452963471413,0.4700000286102295,0.6985015869140625,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,6,80.2000,84.1000,0.0,0.0745866671204567,0.4740000367164612,0.6907119154930115,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,7,80.4000,83.2000,0.0,0.07010296732187271,0.4740000367164612,0.6872982978820801,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
cora,MPNN_sage,mlp,none,0.01,500,123,8,80.2000,83.0000,0.0,0.06639702618122101,0.4700000286102295,0.6848670244216919,"lr=0.001,hid=256,do=0.7,wd=0.0005,heads=1,ll=3,gnn=sage,ln=False,bn=False,res=False,jk=False,prelin=False"
