dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
minesweeper,MPNN_gat,none,,0.0,,42,0,98.0220,97.9929,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,1,98.3321,98.1709,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,2,98.1572,98.0399,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,3,98.0133,97.7477,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,4,96.9028,96.8392,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,5,97.1061,96.9916,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,6,98.2916,97.5520,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,7,95.5313,95.3895,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,8,98.2218,98.5816,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,none,,0.0,,42,9,97.3970,97.6151,,,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,0,97.3493,96.9073,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,1,97.0575,97.3732,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,2,97.4113,97.5850,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,3,97.2620,97.1824,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,4,97.4870,97.3209,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,5,97.6738,97.8831,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,6,95.9886,94.2532,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,7,97.8140,97.3637,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,8,97.2224,97.1908,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,oracle,none,0.01,,42,9,97.7814,98.2012,0.0,0.93755704164505,,,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,0,97.5922,97.5350,0.0,1.0666184425354004,0.7999999523162842,0.12297645956277847,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,1,97.7352,97.6218,0.0,1.0547364950180054,0.7999999523162842,0.11901567131280899,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,2,97.8634,97.7059,0.0,1.0723764896392822,0.7999999523162842,0.12470736354589462,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,3,97.9222,97.9451,0.0,1.0723211765289307,0.7999999523162842,0.12477229535579681,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,4,97.8612,97.7866,0.0,1.0485228300094604,0.7999999523162842,0.11734659969806671,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,5,98.0089,97.6826,0.0,1.0557447671890259,0.7999999523162842,0.11913753300905228,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
minesweeper,MPNN_gat,mlp,none,0.01,500,42,6,98.5746,98.1131,0.0,1.0654628276824951,0.7999999523162842,0.12214329838752747,"lr=0.01,hid=64,do=0.2,wd=0.0,heads=1,ll=15,gnn=gat,ln=False,bn=True,res=True,jk=False,prelin=False"
