dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
questions,MPNN_gcn,none,,0.0,,42,0,78.5229,78.5976,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,1,78.8895,78.8126,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,2,78.5751,78.1478,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,3,78.5067,78.6463,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,4,77.6067,79.3482,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,5,77.4368,79.2928,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,6,78.7647,76.5152,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,7,78.3550,80.4673,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,8,77.6225,77.7801,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
questions,MPNN_gcn,none,,0.0,,42,9,79.1837,75.9419,,,,,"lr=3e-05,hid=512,do=0.3,wd=0.0,heads=1,ll=10,gnn=gcn,ln=False,bn=False,res=True,jk=False,prelin=True"
