dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,config
wikics,MPNN_sage,none,,0.0,,42,0,82.1009,80.8620,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,1,81.9492,80.0752,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,2,82.6697,80.8107,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,3,81.5320,79.4424,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,4,82.1957,81.1527,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,5,81.5320,79.5451,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,6,80.5271,79.6990,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,7,81.0580,79.4596,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,8,81.6079,80.6567,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,none,,0.0,,42,9,81.4372,79.9384,,,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,0,82.0819,80.9646,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,1,81.8544,80.0410,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,2,82.6697,80.6909,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,3,81.5700,79.4767,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,4,82.1578,81.1527,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,5,81.5700,79.6135,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,6,80.4702,79.6648,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,7,80.9443,79.8529,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,8,81.6269,80.9133,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,oracle,none,0.01,,42,9,81.5510,80.0752,0.0,0.3469803035259247,,,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,0,82.1767,80.9475,0.0,0.33132654428482056,0.7184300422668457,0.27537786960601807,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,1,81.8733,79.9555,0.0,0.3448869585990906,0.7273416519165039,0.24178382754325867,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,2,82.7266,80.3147,0.0,0.31039223074913025,0.7269624471664429,0.24086955189704895,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,3,81.6269,79.4767,0.0,0.31517401337623596,0.7233598828315735,0.2681701183319092,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,4,82.3094,81.1185,0.0,0.32723942399024963,0.7112248539924622,0.25557249784469604,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,5,81.7027,81.0159,0.0,0.3171612322330475,0.7309442758560181,0.2373286485671997,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
wikics,MPNN_sage,mlp,none,0.01,500,42,6,80.2996,79.4938,0.0,0.3214086592197418,0.721653401851654,0.22333365678787231,"lr=0.001,hid=256,do=0.7,wd=0.0,heads=1,ll=2,gnn=sage,ln=True,bn=False,res=False,jk=False,prelin=False"
